dataset,family,pipeline,pipeline_id,rep_index,algorithm,t_total,t_build,t_config,t_cpgm,t_classify,t_context,t_score_ip,t_score_if,t_score_ir,t_report,ip_score,ip_passed,ip_total,ip_full,ip_none,if_score,if_passed,if_total,if_scored_1,if_scored_0,if_undefined,if_undefined_rate,ir_score,ir_passed,ir_total,ir_full,ir_partial,ir_local,fairness_passed
bsbm_100k,kg2pg,parsi,20260703T132506Z,1,kg2pg,58.38987,8.07845,0.00213,39.97418,4.55158,8.07846,0.07818,0.465,0.29627,4.94308,1.0,True,100075,100075,0,0.7663,False,133177,102053,31124,0,0.0,0.96084,True,130228,125128,0,5100,False
bsbm_100k,kg2pg,parsi,20260703T132506Z,2,kg2pg,57.46628,8.06587,0.0025,39.07753,4.61984,8.06588,0.07629,0.45477,0.28218,4.88642,1.0,True,100075,100075,0,0.7663,False,133177,102053,31124,0,0.0,0.96084,True,130228,125128,0,5100,False
bsbm_100k,rdf2pg,sdm,20260703T131507Z,0,rdf2pg_sdm,39.07502,5.28529,0.00168,23.67247,4.79142,5.2853,0.14346,0.26485,0.19252,4.72239,0.0,False,100075,0,100075,0.99705,True,133177,12860,38,120279,0.90315,0.0,False,100075,0,0,100075,False
bsbm_100k,rdf2pg,sdm,20260703T131507Z,1,rdf2pg_sdm,37.39557,5.48673,0.00215,23.16064,4.5735,5.48674,0.14094,0.27644,0.20224,3.55191,0.0,False,100075,0,100075,0.99705,True,133177,12860,38,120279,0.90315,0.0,False,100075,0,0,100075,False
bsbm_100k,rdf2pg,sdm,20260703T131507Z,2,rdf2pg_sdm,38.73459,5.17479,0.00189,22.89283,4.81776,5.1748,0.14815,0.31211,0.20485,5.18124,0.0,False,100075,0,100075,0.99705,True,133177,12860,38,120279,0.90315,0.0,False,100075,0,0,100075,False
bsbm_10k,rdf2pg,cdm,20260703T131336Z,0,rdf2pg_cdm,4.93797,0.71341,0.00175,2.19641,0.40274,0.71342,0.02232,0.06045,0.022,1.51812,0.95122,True,10250,9750,500,0.87463,False,14313,11644,1669,1000,0.06987,0.5674,False,11847,1597,10250,0,False
bsbm_10k,rdf2pg,cdm,20260703T131336Z,1,rdf2pg_cdm,5.0421,0.69062,0.00176,2.16515,0.41688,0.69063,0.01955,0.06008,0.02425,1.66296,0.95122,True,10250,9750,500,0.87463,False,14313,11644,1669,1000,0.06987,0.5674,False,11847,1597,10250,0,False
bsbm_10k,rdf2pg,cdm,20260703T131336Z,2,rdf2pg_cdm,5.0921,0.7277,0.0019,2.27485,0.4311,0.72771,0.01992,0.07228,0.02321,1.54028,0.95122,True,10250,9750,500,0.87463,False,14313,11644,1669,1000,0.06987,0.5674,False,11847,1597,10250,0,False
bsbm_10k,rdf2pg,gdm,20260703T131256Z,0,rdf2pg_gdm,12.63353,0.92792,0.00207,9.63143,0.33521,0.92794,0.00724,0.06544,0.04404,1.61934,0.95122,True,10250,9750,500,0.08157,False,14313,1086,12227,1000,0.06987,1.0,True,17271,17271,0,0,False
bsbm_10k,rdf2pg,gdm,20260703T131256Z,1,rdf2pg_gdm,12.31799,0.9764,0.00198,9.20516,0.41046,0.97641,0.0079,0.08052,0.04281,1.59192,0.95122,True,10250,9750,500,0.08157,False,14313,1086,12227,1000,0.06987,1.0,True,17271,17271,0,0,False
